,1070,2051,2052,2053
322,15.0,12.35,12.49,12.42
323,15.0,12.35,12.49,12.42
324,15.0,12.35,12.49,12.42
325,15.0,12.35,12.49,12.42
326,15.0,12.35,12.49,12.42
327,15.0,12.35,12.49,12.42
328,15.0,12.35,12.49,12.42
329,15.0,12.35,12.49,12.42
330,15.0,12.35,12.49,12.42
331,15.0,12.35,12.49,12.42
332,15.0,12.35,12.49,12.42
333,15.0,12.35,12.49,12.42
334,15.0,12.35,12.49,12.42
335,15.0,12.35,12.49,12.42
336,15.0,12.35,12.49,12.42
337,15.0,12.35,12.49,12.42
338,15.0,12.35,12.49,12.42
339,15.0,12.35,12.49,12.42
340,15.0,12.35,12.49,12.42
341,15.0,12.35,12.49,12.42
342,15.0,12.35,12.49,12.42
343,15.0,12.35,12.49,12.42
344,15.0,12.35,12.49,12.42
345,15.0,12.35,12.49,12.42
346,15.0,12.35,12.49,12.42
347,15.0,12.35,12.49,12.42
348,15.0,12.35,12.49,12.42
349,15.0,12.35,12.49,12.42
350,15.0,12.35,12.49,12.42
351,15.0,12.35,12.49,12.42
352,15.0,12.35,12.49,12.42
353,15.0,12.35,12.49,12.42
354,15.0,12.35,12.49,12.42
355,15.0,12.35,12.49,12.42
356,15.0,12.35,12.49,12.42
357,15.0,12.35,12.49,12.42
358,15.0,12.35,12.49,12.42
359,15.0,12.35,12.49,12.42
360,15.5,13.13,12.64,13.41
361,15.5,13.13,12.64,13.41
362,15.5,13.13,12.64,13.41
363,15.5,13.13,12.64,13.41
364,15.5,13.13,12.64,13.41
365,15.5,13.13,12.64,13.41
366,15.5,13.13,12.64,13.41
367,15.5,13.13,12.64,13.41
368,15.5,13.13,12.64,13.41
369,15.5,13.13,12.64,13.41
370,15.5,13.13,12.64,13.41
371,15.5,13.13,12.64,13.41
372,15.5,13.13,12.64,13.41
373,15.5,13.13,12.64,13.41
374,15.5,13.13,12.64,13.41
375,15.5,13.13,12.64,13.41
376,15.5,13.13,12.64,13.41
377,15.5,13.13,12.64,13.41
378,15.5,13.13,12.64,13.41
379,15.5,13.13,12.64,13.41
380,15.5,13.13,12.64,13.41
381,15.5,13.13,12.64,13.41
382,15.5,13.13,12.64,13.41
383,15.5,13.13,12.64,13.41
384,15.5,13.13,12.64,13.41
385,15.5,13.13,12.64,13.41
386,15.5,13.13,12.64,13.41
387,15.5,13.13,12.64,13.41
388,15.5,13.13,12.64,13.41
389,15.5,13.13,12.64,13.41
390,15.5,13.13,12.64,13.41
391,15.5,13.13,12.64,13.41
392,15.5,13.13,12.64,13.41
393,15.5,13.13,12.64,13.41
394,15.5,13.13,12.64,13.41
395,15.5,13.13,12.64,13.41
396,15.5,13.13,12.64,13.41
397,15.5,13.13,12.64,13.41
398,15.5,13.13,12.64,13.41
399,15.5,13.13,12.64,13.41
400,15.5,13.13,12.64,13.41
401,15.5,13.13,12.64,13.41
402,15.5,13.13,12.64,13.41
403,15.5,13.13,12.64,13.41
404,15.5,13.13,12.64,13.41
405,15.5,13.13,12.64,13.41
406,15.5,13.13,12.64,13.41
407,15.5,13.13,12.64,13.41
408,15.5,13.13,12.64,13.41
409,15.5,13.13,12.64,13.41
410,15.5,13.13,12.64,13.41
411,15.5,13.13,12.64,13.41
412,15.5,13.13,12.64,13.41
413,15.5,13.13,12.64,13.41
414,15.5,13.13,12.64,13.41
415,15.5,13.13,12.64,13.41
416,15.5,13.13,12.64,13.41
417,15.5,13.13,12.64,13.41
418,15.5,13.13,12.64,13.41
419,15.5,13.13,12.64,13.41
420,15.5,13.13,12.64,13.41
421,15.5,13.13,12.64,13.41
422,15.5,13.13,12.64,13.41
423,15.5,13.13,12.64,13.41
424,15.5,12.64,13.13,13.41
425,15.5,13.13,12.64,13.41
426,15.5,13.13,12.64,13.41
427,15.5,13.13,12.64,13.41
428,15.5,13.13,12.64,13.41
429,15.5,13.13,12.64,13.41
430,15.5,13.13,12.64,13.41
431,15.5,13.13,12.64,13.41
432,15.5,13.13,12.64,13.41
433,15.5,13.13,12.64,13.41
434,15.5,13.13,12.64,13.41
435,15.5,13.13,12.64,13.41
436,15.5,13.13,12.64,13.41
437,15.5,13.13,12.64,13.41
438,15.5,13.13,12.64,13.41
439,15.5,13.13,12.64,13.41
440,15.5,13.13,12.64,13.41
441,15.5,13.13,12.64,13.41
442,15.5,13.13,12.64,13.41
443,15.5,13.13,12.64,13.41
444,15.5,13.13,12.64,13.41
445,15.5,13.13,12.64,13.41
446,15.5,13.13,12.64,13.41
447,15.5,13.13,12.64,13.41
